name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Stockholm,2023-10-26,39.4,35.5,37.9,35.9,29.6,32.2,32.9,82.9,0.019,100,4.17,rain,0,0,18.3,11.4,46.1,1007,92.5,5.9,7,0.7,0,,2023-10-26T07:51:19,2023-10-26T17:11:09,0.41,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"02464099999,02460099999,02490099999,ESCM,02484099999,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-10-27,39.1,35.5,36.8,34,29.7,31.4,34.4,91,0.004,100,4.17,"rain,snow",0,0,14.8,9.2,11.7,1002.3,93.1,6.2,9.3,0.8,1,,2023-10-27T07:53:47,2023-10-27T17:08:30,0.45,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-10-28,37.2,32,34.9,32.4,25.5,29,28.9,79.1,0,0,0,,0,0,14.8,11.3,351.4,1005.3,82.7,6.2,54.2,4.7,3,,2023-10-28T07:56:15,2023-10-28T17:05:52,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-10-29,38.9,31.8,35.1,34.7,28.7,31.7,29.2,79.7,0.004,100,4.17,"rain,snow",0,0,11.6,10.3,77.9,1006.4,91.1,6.2,30.2,2.6,1,,2023-10-29T06:58:43,2023-10-29T16:03:15,0.52,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-10-30,42.6,35.4,38.3,35.2,29,32.1,32.5,80.5,0,0,0,,0,0,21,17.2,61.7,999.5,92.8,5.8,18.7,1.8,1,,2023-10-30T07:01:12,2023-10-30T16:00:40,0.55,Overcast,Cloudy skies throughout the day.,cloudy,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-10-31,48,39.1,43.2,46,31.4,39.1,42.7,97.8,0.259,100,4.17,rain,0,0,20.8,12.9,338,994.4,93.3,5.6,8,0.6,0,,2023-10-31T07:03:41,2023-10-31T15:58:06,0.58,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-11-01,39.1,31.8,35.4,33.4,24,27.6,32.9,90.7,0.393,100,4.17,"rain,snow",0,0,22.6,14.9,289.1,999.3,93.4,5.4,16.7,1.5,1,,2023-11-01T07:06:10,2023-11-01T15:55:33,0.62,"Snow, Rain, Overcast",Cloudy skies throughout the day with morning rain or snow.,rain,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-11-02,44.3,30,35.9,38.4,26.1,30.8,34,92.7,0,0,0,"rain,snow",0,0,24.4,14,77.2,1002,88.6,5.1,10.7,0.9,1,,2023-11-02T07:08:39,2023-11-02T15:53:02,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-11-03,48.1,44.4,47.4,44.9,38.5,42.1,45.5,93.5,0.013,100,4.17,rain,0,0,30.4,17.2,102.2,991.9,95.1,5,4.3,0.4,0,,2023-11-03T07:11:08,2023-11-03T15:50:32,0.68,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
Stockholm,2023-11-04,49.9,44.4,47.7,47.1,39.5,44.2,46.3,95,0.341,100,4.17,rain,0,0,22.6,13.7,128.8,982.4,96,5.3,4,0.4,0,,2023-11-04T07:13:38,2023-11-04T15:48:04,0.71,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"02464099999,02460099999,02490099999,ESCM,E4931,02458099999,ESSA,ESSB"
